Page,Enrollment Number,Image,Predicted Answers,Correctness,Answer Key,Total Score
3,202439003,test_2_page_042.jpg,b,❌,d,44
3,202439003,test_2_page_042.jpg,b,❌,d,44
3,202439003,test_2_page_042.jpg,B,✅,b,44
3,202439003,test_2_page_042.jpg,B,✅,b,44
3,202439003,test_2_page_042.jpg,a,❌,e,44
3,202439003,test_2_page_042.jpg,a,❌,c,44
3,202439003,test_2_page_042.jpg,b,❌,d,44
3,202439003,test_2_page_042.jpg,B,✅,b,44
3,202439003,test_2_page_042.jpg,a,❌,b,44
3,202439003,test_2_page_042.jpg,b,❌,d,44
3,202439003,test_2_page_042.jpg,e,❌,c,44
3,202439003,test_2_page_042.jpg,c,❌,e,44
3,202439003,test_2_page_042.jpg,c,❌,e,44
3,202439003,test_2_page_042.jpg,b,❌,d,44
3,202439003,test_2_page_042.jpg,c,❌,b,44
3,202439003,test_2_page_042.jpg,B,✅,b,44
3,202439003,test_2_page_042.jpg,c,❌,b,44
3,202439003,test_2_page_042.jpg,b,❌,d,44
3,202439003,test_2_page_042.jpg,B,✅,b,44
3,202439003,test_2_page_042.jpg,B,✅,b,44
3,202439003,test_2_page_042.jpg,b,❌,e,44
3,202439003,test_2_page_042.jpg,b,❌,c,44
3,202439003,test_2_page_042.jpg,b,❌,c,44
3,202439003,test_2_page_042.jpg,b,❌,d,44
3,202439003,test_2_page_042.jpg,D,✅,d,44
3,202439003,test_2_page_042.jpg,c,❌,b,44
3,202439003,test_2_page_042.jpg,B,✅,b,44
3,202439003,test_2_page_042.jpg,b,❌,d,44
3,202439003,test_2_page_042.jpg,b,❌,d,44
3,202439003,test_2_page_042.jpg,b,❌,d,44
3,202439003,test_2_page_042.jpg,c,❌,d,44
3,202439003,test_2_page_042.jpg,b,❌,d,44
3,202439003,test_2_page_042.jpg,b,❌,d,44
3,202439003,test_2_page_042.jpg,b,❌,a,44
3,202439003,test_2_page_042.jpg,B,✅,b,44
3,202439003,test_2_page_042.jpg,a,❌,c,44
3,202439003,test_2_page_042.jpg,B,✅,b,44
3,202439003,test_2_page_042.jpg,a,❌,c,44
3,202439003,test_2_page_042.jpg,b,❌,d,44
3,202439003,test_2_page_042.jpg,B,✅,b,44
3,202439003,test_2_page_042.jpg,b,❌,c,44
3,202439003,test_2_page_042.jpg,B,✅,b,44
3,202439003,test_2_page_042.jpg,D,✅,d,44
3,202439003,test_2_page_042.jpg,e,❌,b,44
3,202439003,test_2_page_042.jpg,e,❌,c,44
3,202439003,test_2_page_042.jpg,c,❌,b,44
3,202439003,test_2_page_042.jpg,d,❌,a,44
3,202439003,test_2_page_042.jpg,c,❌,b,44
3,202439003,test_2_page_042.jpg,B,✅,b,44
3,202439003,test_2_page_042.jpg,a,❌,d,44
3,202439003,test_2_page_042.jpg,B,✅,b,44
3,202439003,test_2_page_042.jpg,b,❌,e,44
3,202439003,test_2_page_042.jpg,A,✅,a,44
3,202439003,test_2_page_042.jpg,a,❌,d,44
3,202439003,test_2_page_042.jpg,b,❌,d,44
3,202439003,test_2_page_042.jpg,c,❌,d,44
3,202439003,test_2_page_042.jpg,e,❌,b,44
3,202439003,test_2_page_042.jpg,B,✅,b,44
3,202439003,test_2_page_042.jpg,A,✅,a,44
3,202439003,test_2_page_042.jpg,B,✅,b,44
3,202439003,test_2_page_042.jpg,c,❌,a,44
3,202439003,test_2_page_042.jpg,D,✅,d,44
3,202439003,test_2_page_042.jpg,B,✅,b,44
3,202439003,test_2_page_042.jpg,b,❌,a,44
3,202439003,test_2_page_042.jpg,B,✅,b,44
3,202439003,test_2_page_042.jpg,b,❌,e,44
3,202439003,test_2_page_042.jpg,e,❌,b,44
3,202439003,test_2_page_042.jpg,b,❌,d,44
3,202439003,test_2_page_042.jpg,a,❌,b,44
3,202439003,test_2_page_042.jpg,b,❌,d,44
3,202439003,test_2_page_042.jpg,a,❌,d,44
3,202439003,test_2_page_042.jpg,B,✅,b,44
3,202439003,test_2_page_042.jpg,b,❌,a,44
3,202439003,test_2_page_042.jpg,c,❌,b,44
3,202439003,test_2_page_042.jpg,C,✅,c,44
3,202439003,test_2_page_042.jpg,b,❌,d,44
3,202439003,test_2_page_042.jpg,a,❌,d,44
3,202439003,test_2_page_042.jpg,A,✅,a,44
3,202439003,test_2_page_042.jpg,a,❌,d,44
3,202439003,test_2_page_042.jpg,B,✅,b,44
3,202439003,test_2_page_042.jpg,A,✅,a,44
3,202439003,test_2_page_042.jpg,a,❌,b,44
3,202439003,test_2_page_042.jpg,B,✅,b,44
3,202439003,test_2_page_042.jpg,a,❌,b,44
3,202439003,test_2_page_042.jpg,b,❌,d,44
